"",".model","DATE","Cash",".mean"
"1","NAIVE(box_cox(Cash, lambda3))",2010-05-01,t(N(574, 1380)),84.9599627864477
"2","NAIVE(box_cox(Cash, lambda3))",2010-05-02,t(N(574, 2760)),84.9199255728954
"3","NAIVE(box_cox(Cash, lambda3))",2010-05-03,t(N(574, 4140)),84.8798883593431
"4","NAIVE(box_cox(Cash, lambda3))",2010-05-04,t(N(574, 5520)),84.8398511457908
"5","NAIVE(box_cox(Cash, lambda3))",2010-05-05,t(N(574, 6900)),84.7998139322385
"6","NAIVE(box_cox(Cash, lambda3))",2010-05-06,t(N(574, 8280)),84.7597767186863
"7","NAIVE(box_cox(Cash, lambda3))",2010-05-07,t(N(574, 9659)),84.719739505134
"8","NAIVE(box_cox(Cash, lambda3))",2010-05-08,t(N(574, 11039)),84.6797022915817
"9","NAIVE(box_cox(Cash, lambda3))",2010-05-09,t(N(574, 12419)),84.6396650780294
"10","NAIVE(box_cox(Cash, lambda3))",2010-05-10,t(N(574, 13799)),84.5996278644771
"11","NAIVE(box_cox(Cash, lambda3))",2010-05-11,t(N(574, 15179)),84.5595906509248
"12","NAIVE(box_cox(Cash, lambda3))",2010-05-12,t(N(574, 16559)),84.5195534373726
"13","NAIVE(box_cox(Cash, lambda3))",2010-05-13,t(N(574, 17939)),84.4795162238203
"14","NAIVE(box_cox(Cash, lambda3))",2010-05-14,t(N(574, 19319)),84.439479010268
"15","NAIVE(box_cox(Cash, lambda3))",2010-05-15,t(N(574, 20699)),84.3994417967157
"16","NAIVE(box_cox(Cash, lambda3))",2010-05-16,t(N(574, 22079)),84.3594045831634
"17","NAIVE(box_cox(Cash, lambda3))",2010-05-17,t(N(574, 23459)),84.3193673696111
"18","NAIVE(box_cox(Cash, lambda3))",2010-05-18,t(N(574, 24839)),84.2793301560589
"19","NAIVE(box_cox(Cash, lambda3))",2010-05-19,t(N(574, 26218)),84.2392929425066
"20","NAIVE(box_cox(Cash, lambda3))",2010-05-20,t(N(574, 27598)),84.1992557289543
"21","NAIVE(box_cox(Cash, lambda3))",2010-05-21,t(N(574, 28978)),84.159218515402
"22","NAIVE(box_cox(Cash, lambda3))",2010-05-22,t(N(574, 30358)),84.1191813018497
"23","NAIVE(box_cox(Cash, lambda3))",2010-05-23,t(N(574, 31738)),84.0791440882974
"24","NAIVE(box_cox(Cash, lambda3))",2010-05-24,t(N(574, 33118)),84.0391068747452
"25","NAIVE(box_cox(Cash, lambda3))",2010-05-25,t(N(574, 34498)),83.9990696611929
"26","NAIVE(box_cox(Cash, lambda3))",2010-05-26,t(N(574, 35878)),83.9590324476406
"27","NAIVE(box_cox(Cash, lambda3))",2010-05-27,t(N(574, 37258)),83.9189952340883
"28","NAIVE(box_cox(Cash, lambda3))",2010-05-28,t(N(574, 38638)),83.878958020536
"29","NAIVE(box_cox(Cash, lambda3))",2010-05-29,t(N(574, 40018)),83.8389208069837
"30","NAIVE(box_cox(Cash, lambda3))",2010-05-30,t(N(574, 41398)),83.7988835934315
"31","NAIVE(box_cox(Cash, lambda3))",2010-05-31,t(N(574, 42778)),83.7588463798792
